upd,R,best,valid,loss,cap,br,cap_rate
0,-23.422909210432294,-13.824663525425509,1.0,-12.59271240234375,0.0,0.0,0.0
20,15.790170344925324,28.747322862370154,0.625,0.6924548745155334,147.0,62.0,0.7033492822966507
40,27.268283700072715,40.99592075699777,0.4583333333333333,-2.589271306991577,181.0,66.0,0.7327935222672065
60,35.62593467458354,46.9402587944819,0.4583333333333333,-0.587972104549408,151.0,63.0,0.705607476635514
80,59.41445637102718,67.85550391907786,0.375,-9.369166374206543,164.0,73.0,0.6919831223628692
100,2.466465361126106,5.139354517845523,0.25,-3.7193715572357178,171.0,55.0,0.7566371681415929
120,31.45040581517148,45.01204197973235,0.6666666666666666,0.6716616749763489,138.0,96.0,0.5897435897435898
140,22.04412320577263,42.19895993416778,0.5416666666666666,-6.8449554443359375,166.0,75.0,0.6887966804979253
160,23.753571608519252,34.1031919428872,0.5,-0.3138757050037384,160.0,99.0,0.6177606177606177
180,22.65369461266732,39.97558625015156,0.625,1.8047245740890503,211.0,56.0,0.7902621722846442
200,35.96440622789799,44.7147711162901,0.625,3.8035366535186768,173.0,83.0,0.67578125
220,7.500826884296362,13.119058417513825,0.625,-1.238187313079834,196.0,60.0,0.765625
240,14.272625575220795,20.461297580130438,0.4583333333333333,-3.6247076988220215,139.0,53.0,0.7239583333333334
260,37.90780877742794,50.73882541632657,0.4166666666666667,6.280079364776611,156.0,97.0,0.616600790513834
280,34.93247309610073,40.54159481589776,0.375,-0.9578273892402649,139.0,90.0,0.6069868995633187
300,23.73800823226078,28.36494542544068,0.375,3.6666834354400635,202.0,59.0,0.7739463601532567
320,17.20870031115501,24.627117476876872,0.5833333333333334,1.3880664110183716,168.0,84.0,0.6666666666666666
340,27.785590939918833,33.79684918922385,0.5416666666666666,6.433652400970459,182.0,68.0,0.728
360,34.47204850150344,42.81044163544775,0.4583333333333333,4.5023417472839355,162.0,63.0,0.72
380,47.765499584203546,57.08446875527111,0.5833333333333334,7.031434059143066,192.0,59.0,0.7649402390438247
400,33.19472972815044,42.04352965205612,0.5416666666666666,4.644382476806641,191.0,64.0,0.7490196078431373
420,22.465895399029865,27.12808194980133,0.5833333333333334,-2.619049549102783,169.0,47.0,0.7824074074074074
440,24.59623158446065,34.4294741135518,0.5,3.380788803100586,186.0,75.0,0.7126436781609196
460,20.029746840193564,25.372189828944684,0.4166666666666667,1.7054994106292725,155.0,85.0,0.6458333333333334
480,39.25592620087273,44.38123975984296,0.375,5.749326705932617,152.0,82.0,0.6495726495726496
500,25.87816542935752,32.80699937674346,0.5,1.4123674631118774,171.0,51.0,0.7702702702702703
520,22.58592282353666,31.043631235600756,0.6666666666666666,3.5269041061401367,142.0,107.0,0.570281124497992
540,34.88894141186455,45.03718263486152,0.5,5.139830589294434,183.0,56.0,0.7656903765690377
560,51.04038397774459,58.70695215285607,0.5833333333333334,4.527289867401123,174.0,67.0,0.7219917012448133
580,24.919697131508514,30.932421379747442,0.6666666666666666,1.0248829126358032,202.0,58.0,0.7769230769230769
600,46.77146165791919,57.242973127480205,0.625,4.109865188598633,170.0,79.0,0.6827309236947792
620,48.21559182253256,54.90775463330442,0.4166666666666667,3.1067421436309814,202.0,46.0,0.8145161290322581
640,28.279573504034783,39.27752440305517,0.4583333333333333,9.803132057189941,195.0,41.0,0.826271186440678
660,35.25927164617748,42.00730502099659,0.4583333333333333,-0.6882472038269043,141.0,72.0,0.6619718309859155
680,62.59966804358635,72.8653759618577,0.5833333333333334,-0.3455260992050171,179.0,53.0,0.771551724137931
700,49.53295248481043,56.63979626664386,0.5,6.829579830169678,199.0,53.0,0.7896825396825397
720,66.6126208907947,70.95462131990159,0.5,7.4533843994140625,187.0,52.0,0.7824267782426778
740,25.429478461686063,33.17554975388585,0.5416666666666666,4.389797210693359,221.0,65.0,0.7727272727272727
760,73.41208031672464,80.70873155945614,0.5833333333333334,13.724590301513672,173.0,52.0,0.7688888888888888
780,31.09075772899975,36.29930622533712,0.5,2.4478096961975098,217.0,52.0,0.8066914498141264
799,48.63531290520266,56.27165087293682,0.6666666666666666,8.36667537689209,172.0,64.0,0.7288135593220338
